Regno Lact DIM no_test Ageday milk htd milk.1 fat pro L1 L2 L3 L4 L5 L6
3144033 1 275 3 1067 28.57 251713902 28.57 0.95 0.91 0.707 0.986 0.748 0.183 4.184 -0.92
4184126 1 216 3 920 31.2 356913924 31.2 0.5 0.93 0.707 0.501 -0.393 -0.828 0.923 0.605
4092920 1 77 3 758 39 352213876 39 0.89 1.17 0.707 -0.641 -0.141 0.798 1.274 -0.084
1537282 1 107 3 845 37 1022139211 37 1.42 1.22 0.707 -0.395 -0.544 0.748 0.813 -0.795
1470628 1 55 3 789 31 104613912 31 1.18 0.8 0.707 -0.822 0.278 0.469 2.32 0.737
1298273 1 103 3 858 25 1037138611 25 0.93 0.74 0.707 -0.427 -0.502 0.781 0.836 -0.758
1348484 1 122 3 1017 39.6 1552213902 39.6 0.93 1.2 0.707 -0.271 -0.674 0.571 0.779 -0.761
6621833 1 21 3 704 29 104139212 29 1.11 0.98 0.707 -1.101 1.128 -0.878 6.223 0.107
1531276 1 273 3 1020 25 313929 25 1.05 0.99 0.707 0.97 0.697 0.101 3.947 -0.957
1326041 1 292 3 1060 18 105913878 18 0.87 0.57 0.707 1.126 1.214 1.055 6.756 0.229
4099278 1 140 3 851 45.4 14138712 45.4 1.62 1.35 0.707 -0.123 -0.767 0.278 0.788 -0.422
1534601 1 47 3 721 36 130313923 36 1.2 1.12 0.707 -0.888 0.455 0.253 2.939 0.932
4207294 1 241 3 983 37.2 3532139311 37.2 0 0 0.707 0.707 0 -0.72 1.56 -0.225
1481714 1 190 3 875 39.2 100913924 39.2 0.77 1.16 0.707 0.288 -0.66 -0.599 0.78 0.78
7410180 1 119 3 904 11.6 1301713861 11.6 0.46 0.46 0.707 -0.296 -0.652 0.612 0.781 -0.788
4211205 1 220 3 943 18.4 356213942 18.4 0.56 0.58 0.707 0.534 -0.339 -0.836 0.98 0.506
4092840 1 293 3 1115 41 352213884 41 1.18 1.29 0.707 1.134 1.244 1.117 6.942 0.356
6416551 1 263 3 1162 41.8 9251139010 41.8 1.4 1.41 0.707 0.888 0.455 -0.253 2.939 -0.932
1413666 1 263 3 1084 16 102813909 16 0.95 0.56 0.707 0.888 0.455 -0.253 2.939 -0.932
4177812 1 21 3 1148 45.2 361013935 45.2 0 0 0.707 -1.101 1.128 -0.878 6.223 0.107
3167839 1 273 3 1017 32 220913942 32 0.48 0.93 0.707 0.97 0.697 0.101 3.947 -0.957
5032539 1 161 3 863 39.2 502813933 39.2 1.25 1.25 0.707 0.049 -0.787 -0.113 0.794 0.176
6619758 1 14 3 757 31 10413914 31 1.07 1.05 0.707 -1.159 1.333 -1.308 7.526 -0.787
1476573 1 42 3 755 34.4 122213918 34.4 1.01 1.2 0.707 -0.929 0.573 0.088 3.408 0.983
4212785 1 190 3 895 46.4 3569139312 46.4 1.5 1.39 0.707 0.288 -0.66 -0.599 0.78 0.78
7419525 1 185 3 946 33.2 1301513931 33.2 1.18 0 0.707 0.247 -0.694 -0.527 0.779 0.724
6016774 1 196 3 1022 33.4 19813857 33.4 0.38 1.02 0.707 0.337 -0.611 -0.675 0.788 0.812
2062062 1 25 3 704 41 1013915 41 1.18 1.18 0.707 -1.069 1.015 -0.658 5.568 0.455
1568883 1 283 3 964 31.2 11013936 31.2 1.01 1.01 0.707 1.052 0.96 0.554 5.263 -0.591
9714432 1 173 3 882 33 3139310 33 1.26 1.17 0.707 0.148 -0.756 -0.331 0.786 0.496
7847430 1 257 3 931 34.6 1559613906 34.6 1.11 1.04 0.707 0.838 0.321 -0.421 2.461 -0.796
8608416 1 218 3 997 33 39013878 33 1.39 1.14 0.707 0.518 -0.367 -0.833 0.95 0.558
4122159 1 7 3 782 37.2 355513897 37.2 1.03 1.04 0.707 -1.216 1.549 -1.796 9.045 -2.115
4164034 1 203 3 955 22 360013918 22 0 0 0.707 0.395 -0.544 -0.748 0.813 0.795
1548700 1 157 3 869 26 105213936 26 0.87 0.81 0.707 0.016 -0.79 -0.038 0.795 0.059
1368053 1 292 3 1020 29 114913886 29 1.02 1 0.707 1.126 1.214 1.055 6.756 0.229
7412555 1 30 3 837 35.3 13040138712 35.3 1.04 1.01 0.707 -1.027 0.879 -0.407 4.833 0.753
1452603 1 198 3 1005 30 10713914 30 1.28 0.95 0.707 0.353 -0.593 -0.697 0.794 0.813
8217980 1 56 3 2485 30 1710513927 30 0.32 0.93 0.707 -0.814 0.256 0.493 2.253 0.706
1317898 1 213 3 897 24 1008138612 24 0 0 0.707 0.477 -0.431 -0.816 0.888 0.666
1358427 1 300 3 1255 36.4 102313906 36.4 1.29 1.18 0.707 1.192 1.455 1.58 8.366 1.486
1300039 1 128 3 905 38 1059138512 38 1.01 1.2 0.707 -0.222 -0.713 0.481 0.779 -0.678
1265816 1 261 3 1098 32.6 1031138511 32.6 1.17 0.96 0.707 0.871 0.41 -0.312 2.77 -0.895
1542946 1 109 3 886 21.6 138713914 21.6 0.52 0.56 0.707 -0.378 -0.565 0.729 0.804 -0.806
4146996 1 199 3 966 48.2 357613909 48.2 0 0 0.707 0.362 -0.584 -0.708 0.797 0.812
2018428 1 274 3 1303 22.6 213868 22.6 0.94 0.92 0.707 0.978 0.722 0.141 4.064 -0.941
9706381 1 286 3 894 18 139513932 18 0.63 0.55 0.707 1.077 1.043 0.711 5.726 -0.378
1544624 1 52 3 821 35 123413928 35 1.14 1.02 0.707 -0.847 0.343 0.395 2.535 0.824
1430671 1 109 3 799 27.8 138813903 27.8 0.47 0.87 0.707 -0.378 -0.565 0.729 0.804 -0.806
4103322 1 170 3 939 33 357613883 33 0 0 0.707 0.123 -0.767 -0.278 0.788 0.422
1415750 1 198 3 896 37.2 1162138912 37.2 1.19 0.98 0.707 0.353 -0.593 -0.697 0.794 0.813
7838596 1 191 3 1153 37.8 20113924 37.8 1.19 1.63 0.707 0.296 -0.652 -0.612 0.781 0.788
4210702 1 34 3 775 30.6 359713937 30.6 0.86 0.89 0.707 -0.995 0.773 -0.226 4.307 0.896
1373254 1 31 3 801 35 1060138812 35 1.25 0.94 0.707 -1.019 0.852 -0.36 4.696 0.796
3154047 1 133 3 958 30.4 2319139111 30.4 0.7 0.78 0.707 -0.181 -0.739 0.399 0.783 -0.585
2050550 1 30 3 779 29.2 1413893 29.2 1.15 0.82 0.707 -1.027 0.879 -0.407 4.833 0.753
7420099 1 85 3 803 35 1303313926 35 0.92 0 0.707 -0.575 -0.267 0.833 1.072 -0.361
5020733 1 142 3 881 34 15413884 34 0 0 0.707 -0.107 -0.773 0.242 0.79 -0.37
3163262 1 171 3 892 31.5 242713935 31.5 0.98 0.94 0.707 0.132 -0.763 -0.296 0.788 0.447
2045196 1 174 3 1200 26 2513864 26 0.82 0.66 0.707 0.156 -0.752 -0.348 0.785 0.519
1309089 1 129 3 844 31 103213865 31 1.09 0.9 0.707 -0.214 -0.718 0.465 0.78 -0.661
1540883 1 264 3 1188 17.8 139313911 17.8 0.42 0.62 0.707 0.896 0.479 -0.222 3.028 -0.947
2063350 1 57 3 782 32 10139212 32 1.34 1.08 0.707 -0.806 0.235 0.515 2.188 0.673
1300478 1 10 3 788 26 105913867 26 1.21 0.88 0.707 -1.192 1.455 -1.58 8.366 -1.486
1531783 1 252 3 1128 21 120413937 21 0.71 0.71 0.707 0.797 0.215 -0.536 2.125 -0.639
5638873 1 197 3 1041 40 730413936 40 1.12 1.3 0.707 0.345 -0.602 -0.686 0.791 0.813
1358222 1 102 3 807 0 102313888 0 0 0 0.707 -0.436 -0.491 0.788 0.843 -0.746
1248982 1 84 3 1012 44.4 102313856 44.4 1.31 1.07 0.707 -0.584 -0.252 0.831 1.093 -0.329
1274941 1 266 3 1042 25.6 105913861 25.6 1.12 0.97 0.707 0.912 0.526 -0.157 3.212 -0.971
4149594 1 128 3 829 26.5 357313908 26.5 0 0 0.707 -0.222 -0.713 0.481 0.779 -0.678
6611266 1 216 3 1002 32 10413887 32 0.67 1.07 0.707 0.501 -0.393 -0.828 0.923 0.605
7866582 1 90 3 778 39.6 1551513942 39.6 1.16 1.33 0.707 -0.534 -0.339 0.836 0.98 -0.506
4191675 1 219 3 944 38.51 350013933 38.51 1.27 1.11 0.707 0.526 -0.353 -0.835 0.965 0.533
9361552 1 191 3 1071 31 27138712 31 0.65 0 0.707 0.296 -0.652 -0.612 0.781 0.788
1449811 1 56 3 834 33.6 128613909 33.6 1.41 0.9 0.707 -0.814 0.256 0.493 2.253 0.706
4189280 1 60 3 849 19.4 352213935 19.4 0.59 0.55 0.707 -0.781 0.174 0.577 2.006 0.569
4162866 1 55 3 810 25 733513912 25 0.53 0.65 0.707 -0.822 0.278 0.469 2.32 0.737
8121130 1 93 3 808 33 1658613939 33 0.89 1.01 0.707 -0.51 -0.38 0.831 0.936 -0.582
8609751 1 132 3 776 31 39013872 31 0.97 1 0.707 -0.189 -0.734 0.416 0.782 -0.605
4139145 1 81 3 833 35.1 352713903 35.1 1.14 1.07 0.707 -0.608 -0.206 0.821 1.164 -0.228
1502252 1 200 3 1084 33 101513928 33 1.22 1.12 0.707 0.37 -0.574 -0.719 0.8 0.809
5618329 1 96 3 878 24.5 61013878 24.5 0.93 0 0.707 -0.485 -0.419 0.821 0.899 -0.647
5012407 1 210 3 931 26.7 154138811 26.7 0 0 0.707 0.452 -0.467 -0.801 0.859 0.718
8119312 1 266 3 998 31.5 16575139011 31.5 1.17 1.16 0.707 0.912 0.526 -0.157 3.212 -0.971
1566040 1 173 3 950 44.2 105913944 44.2 1.16 1.53 0.707 0.148 -0.756 -0.331 0.786 0.496
7861063 1 164 3 881 40.4 20113942 40.4 1.61 1.22 0.707 0.074 -0.782 -0.168 0.793 0.261
2054449 1 19 3 801 29 27024138911 29 0.75 0 0.707 -1.118 1.185 -0.995 6.574 -0.109
1470237 1 283 3 1026 36.2 15651139111 36.2 0.85 1.3 0.707 1.052 0.96 0.554 5.263 -0.591
1431702 1 128 3 896 41.2 124913904 41.2 1.26 1.16 0.707 -0.222 -0.713 0.481 0.779 -0.678
1509454 1 190 3 1054 23 13513926 23 0.6 0.67 0.707 0.288 -0.66 -0.599 0.78 0.78
8617228 1 207 3 1016 36.5 261113932 36.5 1.26 1.28 0.707 0.427 -0.502 -0.781 0.836 0.758
4146038 1 40 3 744 33.2 350013903 33.2 0.86 0.84 0.707 -0.945 0.622 0.015 3.615 0.983
3125401 1 298 3 1059 13.1 201713907 13.1 0.33 0.41 0.707 1.175 1.394 1.441 7.937 1.118
1392782 1 157 3 887 21.9 110113896 21.9 0.91 0.69 0.707 0.016 -0.79 -0.038 0.795 0.059
1447917 1 135 3 795 37 123413907 37 0.97 1.13 0.707 -0.164 -0.748 0.365 0.784 -0.541
1534654 1 64 3 932 32 126413926 32 0.92 0.76 0.707 -0.748 0.094 0.648 1.79 0.42
4095704 1 120 3 1088 26.8 356713876 26.8 0 0 0.707 -0.288 -0.66 0.599 0.78 -0.78
1511710 1 233 3 1344 37.2 143313934 37.2 1.03 1.02 0.707 0.641 -0.141 -0.798 1.274 0.084
4081717 1 151 4 919 35 352413868 35 0.79 1.03 0.707 -0.033 -0.789 0.075 0.795 -0.118
4151723 1 42 4 754 31 355813907 31 1.12 0.84 0.707 -0.929 0.573 0.088 3.408 0.983
2032809 1 67 3 806 24.8 613889 24.8 0.84 0.72 0.707 -0.723 0.037 0.694 1.647 0.303
5021176 1 119 3 1196 25 154138910 25 0 0 0.707 -0.296 -0.652 0.612 0.781 -0.788
2046470 1 184 3 909 38.1 2613893 38.1 1.13 0.95 0.707 0.238 -0.701 -0.512 0.779 0.71
9303423 1 266 3 1014 32 2702013942 32 0.9 0.89 0.707 0.912 0.526 -0.157 3.212 -0.971
3091817 1 197 3 933 39.4 125138611 39.4 1.36 1.42 0.707 0.345 -0.602 -0.686 0.791 0.813
5309592 1 191 3 1124 29.5 2713889 29.5 0.8 0 0.707 0.296 -0.652 -0.612 0.781 0.788
5005534 1 225 3 972 28 15413867 28 0 0 0.707 0.575 -0.267 -0.833 1.072 0.361
4124608 1 52 3 758 37 360013889 37 0 0 0.707 -0.847 0.343 0.395 2.535 0.824
7866225 1 210 3 914 34.8 1551513941 34.8 1.12 1.17 0.707 0.452 -0.467 -0.801 0.859 0.718
4226205 1 217 3 915 50.7 358913934 50.7 1.57 1.35 0.707 0.51 -0.38 -0.831 0.936 0.582
4135498 1 119 3 833 40 3522139012 40 0.5 1.32 0.707 -0.296 -0.652 0.612 0.781 -0.788
1447500 1 19 3 806 37 123413905 37 0 0 0.707 -1.118 1.185 -0.995 6.574 -0.109
4117059 1 98 4 781 39.4 3558138812 39.4 1.23 1.23 0.707 -0.469 -0.444 0.812 0.878 -0.685
4183868 1 124 3 843 36.5 362213925 36.5 1.52 1.25 0.707 -0.255 -0.688 0.542 0.778 -0.737
7419553 1 201 3 929 26 1301513928 26 1.08 0 0.707 0.378 -0.565 -0.729 0.804 0.806
1467872 1 132 3 822 36 13513906 36 1.12 1.23 0.707 -0.189 -0.734 0.416 0.782 -0.605
4118788 1 36 4 793 28.4 352313892 28.4 0.98 0.86 0.707 -0.978 0.722 -0.141 4.064 0.941
4183479 1 40 3 942 35 357913924 35 0.88 0.89 0.707 -0.945 0.622 0.015 3.615 0.983
8618389 1 80 3 959 35 39013918 35 1.55 1.22 0.707 -0.616 -0.19 0.816 1.19 -0.193
5024810 1 135 3 869 24.5 15413909 24.5 0 0 0.707 -0.164 -0.748 0.365 0.784 -0.541
1485910 1 26 3 847 36.8 111513899 36.8 1.13 1.19 0.707 -1.06 0.987 -0.606 5.414 0.526
5023214 1 222 3 954 29 15413913 29 0 0 0.707 0.551 -0.311 -0.837 1.014 0.451
4161414 1 262 3 948 32.4 352213927 32.4 0 0 0.707 0.879 0.432 -0.283 2.853 -0.915
1527055 1 203 3 941 35 15588139212 35 0.73 0.99 0.707 0.395 -0.544 -0.748 0.813 0.795
9712431 1 94 3 852 23 121913926 23 0.17 0.67 0.707 -0.501 -0.393 0.828 0.923 -0.605
1346890 1 290 3 1090 31.2 105913891 31.2 1.29 0.98 0.707 1.11 1.156 0.936 6.397 -0.002
1353629 1 181 3 959 0 110113885 0 0 0 0.707 0.214 -0.718 -0.465 0.78 0.661
9363536 1 58 3 773 36 27138812 36 1.44 0 0.707 -0.797 0.215 0.536 2.125 0.639
1305331 1 146 3 875 34 100913892 34 0.85 0.82 0.707 -0.074 -0.782 0.168 0.793 -0.261
6033630 1 49 3 771 35 19813938 35 0.86 1.02 0.707 -0.871 0.41 0.312 2.77 0.895
7814415 1 204 3 1080 38.2 1550313867 38.2 1.07 1.15 0.707 0.403 -0.534 -0.757 0.818 0.787
1488926 1 246 3 1326 30 1249139211 30 0.92 1 0.707 0.748 0.094 -0.648 1.79 -0.42
1423728 1 149 3 885 42 1159138911 42 1.07 1.35 0.707 -0.049 -0.787 0.113 0.794 -0.176
4160787 1 49 3 822 39 3522139111 39 1.41 1.1 0.707 -0.871 0.41 0.312 2.77 0.895
9364848 1 218 3 959 29 2702313906 29 1.22 0 0.707 0.518 -0.367 -0.833 0.95 0.558
4201940 1 210 3 942 35.2 357613933 35.2 1.22 1.01 0.707 0.452 -0.467 -0.801 0.859 0.718
1489479 1 210 3 900 32 120813912 32 1.2 1.07 0.707 0.452 -0.467 -0.801 0.859 0.718
1306157 1 120 3 968 44.8 106013871 44.8 1.66 1.59 0.707 -0.288 -0.66 0.599 0.78 -0.78
1326271 1 14 3 798 27.8 105913875 27.8 0.94 0.75 0.707 -1.159 1.333 -1.308 7.526 -0.787
8614794 1 224 3 1004 27 390139211 27 1.1 0.78 0.707 0.567 -0.282 -0.835 1.052 0.392
4132114 1 258 4 959 35 3558139012 35 0 1.2 0.707 0.847 0.343 -0.395 2.535 -0.824
2059247 1 156 3 1047 28.6 2702513914 28.6 0.6 0 0.707 0.008 -0.79 -0.019 0.795 0.03
8606923 1 18 3 757 30 390138511 30 1.1 0.77 0.707 -1.126 1.214 -1.055 6.756 -0.229
1420391 1 283 4 1016 34.7 130413902 34.7 0.78 1.12 0.707 1.052 0.96 0.554 5.263 -0.591
2056498 1 98 3 734 28.2 10139012 28.2 0 0 0.707 -0.469 -0.444 0.812 0.878 -0.685
2064608 1 47 3 726 43 10139311 43 1.36 1.29 0.707 -0.888 0.455 0.253 2.939 0.932
4177018 1 53 3 935 37 360013923 37 1.02 1 0.707 -0.838 0.321 0.421 2.461 0.796
1503208 1 36 3 847 18 135139110 18 0.43 0.58 0.707 -0.978 0.722 -0.141 4.064 0.941
4082338 1 258 3 962 31.8 356913866 31.8 0 0 0.707 0.847 0.343 -0.395 2.535 -0.824
1481827 1 263 3 980 27.1 2013923 27.1 0.88 0.82 0.707 0.888 0.455 -0.253 2.939 -0.932
3147420 1 249 3 988 33 20913927 33 0 0 0.707 0.773 0.153 -0.596 1.949 -0.533
4103538 1 264 3 1118 31.4 353213889 31.4 1.12 1.02 0.707 0.896 0.479 -0.222 3.028 -0.947
1302697 1 192 3 908 39.2 13213867 39.2 1.05 1.12 0.707 0.304 -0.644 -0.625 0.782 0.795
4118880 1 79 3 795 32.6 3569138811 32.6 0 0 0.707 -0.625 -0.174 0.811 1.217 -0.157
1480964 1 183 3 898 37.8 3589139211 37.8 0 0 0.707 0.23 -0.707 -0.496 0.779 0.694
4194009 1 155 3 974 27.4 3529139212 27.4 0.96 0.76 0.707 0 -0.791 0 0.796 0
3144121 1 221 3 1037 38.51 251713924 38.51 1.27 0 0.707 0.542 -0.325 -0.837 0.997 0.479
1485927 1 104 3 903 32 111513906 32 0.86 0.95 0.707 -0.419 -0.513 0.773 0.83 -0.769
1432626 1 72 3 1017 24.4 130013907 24.4 0.66 0.67 0.707 -0.682 -0.055 0.755 1.442 0.107
4094902 1 20 3 806 33 352213873 33 0 0 0.707 -1.11 1.156 -0.936 6.397 0.002
9366124 1 199 3 941 18 2702613916 18 0.83 0 0.707 0.362 -0.584 -0.708 0.797 0.812
9366241 1 148 3 884 19 2702613915 19 0.67 0 0.707 -0.058 -0.785 0.131 0.794 -0.204
2065369 1 28 3 750 29.5 2613914 29.5 1.25 0.87 0.707 -1.044 0.932 -0.504 5.116 0.651
4075044 1 143 3 808 35.3 352213859 35.3 0.74 1.09 0.707 -0.099 -0.775 0.224 0.791 -0.343
6030001 1 40 3 867 26 804313918 26 0.81 0.84 0.707 -0.945 0.622 0.015 3.615 0.983
1274856 1 52 3 810 37 105913853 37 1 0.87 0.707 -0.847 0.343 0.395 2.535 0.824
6919389 1 291 3 1038 18.2 24513876 18.2 0.75 0 0.707 1.118 1.185 0.995 6.574 0.109
5308781 1 61 2 939 14 21513864 14 0.37 0 0.707 -0.773 0.153 0.596 1.949 0.533
1400412 1 41 3 764 41 2013896 41 1.41 1.19 0.707 -0.937 0.598 0.052 3.51 0.984
1543303 1 90 3 924 20.4 136713912 20.4 0.94 0.64 0.707 -0.534 -0.339 0.836 0.98 -0.506
2061097 1 170 3 1004 30.4 2702513926 30.4 0.61 0 0.707 0.123 -0.767 -0.278 0.788 0.422
1379199 1 162 3 887 0 116613889 0 0 0 0.707 0.058 -0.785 -0.131 0.794 0.204
3129679 1 29 3 799 27 2513906 27 0.79 0.81 0.707 -1.036 0.905 -0.455 4.973 0.704
5022854 1 142 3 937 13 154139012 13 0 0 0.707 -0.107 -0.773 0.242 0.79 -0.37
1555537 1 107 3 740 29 67313938 29 0.5 0.83 0.707 -0.395 -0.544 0.748 0.813 -0.795
8612758 1 183 3 1266 27 39013894 27 0 0 0.707 0.23 -0.707 -0.496 0.779 0.694
1448104 1 230 3 950 24 123413911 24 0.67 0.74 0.707 0.616 -0.19 -0.816 1.19 0.193
3153180 1 91 3 1090 32.6 2326139210 32.6 0 0 0.707 -0.526 -0.353 0.835 0.965 -0.533
1583909 1 38 3 743 34 10913914 34 0.8 0.81 0.707 -0.962 0.672 -0.061 3.833 0.969
3170907 1 101 3 815 29 232413941 29 0.96 0.91 0.707 -0.444 -0.479 0.794 0.851 -0.732
4125005 1 300 3 1097 16 360013901 16 0.72 0.67 0.707 1.192 1.455 1.58 8.366 1.486
1345759 1 275 3 1231 15.99 123413893 15.99 0 0 0.707 0.986 0.748 0.183 4.184 -0.92
2044169 1 119 3 879 40 1013855 40 1.5 1.29 0.707 -0.296 -0.652 0.612 0.781 -0.788
6020401 1 292 2 1075 29.6 360138811 29.6 0.92 1 0.707 1.126 1.214 1.055 6.756 0.229
1253146 1 114 3 825 33.8 11013855 33.8 1.07 1.03 0.707 -0.337 -0.611 0.675 0.788 -0.812
1574478 1 283 3 1245 38 1440139312 38 1.46 1.22 0.707 1.052 0.96 0.554 5.263 -0.591
4125276 1 136 3 854 22 360013898 22 0.32 0.84 0.707 -0.156 -0.752 0.348 0.785 -0.519
1428661 1 92 3 827 36.8 673138910 36.8 1.17 1.41 0.707 -0.518 -0.367 0.833 0.95 -0.558
5633121 1 110 3 835 31.5 7060139012 31.5 0.5 0.93 0.707 -0.37 -0.574 0.719 0.8 -0.809
4119349 1 170 3 962 26 352713903 26 1.17 0.81 0.707 0.123 -0.767 -0.278 0.788 0.422
4101036 1 286 3 1042 28.6 350013889 28.6 1.27 0.95 0.707 1.077 1.043 0.711 5.726 -0.378
1388512 1 87 3 807 0 1044138811 0 0 0 0.707 -0.559 -0.297 0.836 1.032 -0.422
1573063 1 189 3 888 35.6 1078139310 35.6 0.93 1.14 0.707 0.279 -0.667 -0.585 0.779 0.771
2044419 1 213 3 935 42 1013861 42 1.43 1.31 0.707 0.477 -0.431 -0.816 0.888 0.666
1485074 1 302 3 1190 37 1052139210 37 1.01 1.11 0.707 1.208 1.518 1.723 8.814 1.895
1328423 1 40 3 698 44.6 114913861 44.6 1.49 1.12 0.707 -0.945 0.622 0.015 3.615 0.983
6027278 1 245 3 954 39 19813918 39 1.19 1.26 0.707 0.74 0.075 -0.664 1.741 -0.381
5020842 1 235 3 948 26 15413888 26 0 0 0.707 0.658 -0.107 -0.783 1.337 0.009
7866712 1 40 3 728 33.4 15651139212 33.4 1.07 0.92 0.707 -0.945 0.622 0.015 3.615 0.983
3092096 1 228 3 970 38.8 155138612 38.8 1.3 0.97 0.707 0.6 -0.221 -0.825 1.139 0.262
4164855 1 166 3 881 40.2 3500139110 40.2 0.37 1.5 0.707 0.09 -0.778 -0.205 0.791 0.316
1519359 1 63 3 749 35 117413931 35 1.25 0.92 0.707 -0.756 0.114 0.632 1.841 0.458
4113428 1 123 3 913 25.8 355113886 25.8 0.66 0.67 0.707 -0.263 -0.681 0.556 0.779 -0.75
4191418 1 230 3 922 40 3527139311 40 1.24 1.24 0.707 0.616 -0.19 -0.816 1.19 0.193
8416774 1 74 3 853 31.6 18529139211 31.6 0.71 1.09 0.707 -0.666 -0.09 0.774 1.371 0.029
1514827 1 227 3 942 30 107513926 30 0.78 0.95 0.707 0.592 -0.237 -0.828 1.116 0.296
1497232 1 170 3 935 34.6 673139111 34.6 0.79 1.11 0.707 0.123 -0.767 -0.278 0.788 0.422
1286003 1 88 3 880 28.2 1009138611 28.2 0.6 1.05 0.707 -0.551 -0.311 0.837 1.014 -0.451
1400187 1 302 3 993 28 2013899 28 0.9 0.51 0.707 1.208 1.518 1.723 8.814 1.895
1407088 1 225 3 954 14 110613895 14 0.81 0.4 0.707 0.575 -0.267 -0.833 1.072 0.361
1407369 1 93 3 856 36.6 120813891 36.6 0.96 0.93 0.707 -0.51 -0.38 0.831 0.936 -0.582
4185443 1 52 3 874 27 3600139211 27 0 0 0.707 -0.847 0.343 0.395 2.535 0.824
1399577 1 228 3 950 27.6 127213895 27.6 0.31 0.78 0.707 0.6 -0.221 -0.825 1.139 0.262
6018216 1 40 3 964 16.6 19813869 16.6 0.26 0.57 0.707 -0.945 0.622 0.015 3.615 0.983
3094023 1 92 3 883 35 246413873 35 0.88 1.07 0.707 -0.518 -0.367 0.833 0.95 -0.558
1597490 1 56 3 749 37 106013938 37 0.83 1.12 0.707 -0.814 0.256 0.493 2.253 0.706
4108858 1 172 3 1070 25 3600138810 25 0 0 0.707 0.14 -0.76 -0.313 0.787 0.472
5020086 1 295 3 1163 26 15413881 26 0 0 0.707 1.151 1.303 1.243 7.327 0.635
1578442 1 118 3 813 31.8 111913943 31.8 1.04 0.99 0.707 -0.304 -0.644 0.625 0.782 -0.795
4165778 1 242 3 978 18 3568139210 18 0 0 0.707 0.715 0.018 -0.707 1.603 -0.264
1543075 1 98 3 1270 17.6 138713937 17.6 0.51 0.47 0.707 -0.469 -0.444 0.812 0.878 -0.685
1501798 1 220 3 838 14 1041139111 14 0.42 0.54 0.707 0.534 -0.339 -0.836 0.98 0.506
6919194 1 202 2 965 34.5 1105413871 34.5 1.1 0 0.707 0.386 -0.555 -0.738 0.808 0.801
2041720 1 40 3 839 37 27138510 37 1.11 0 0.707 -0.945 0.622 0.015 3.615 0.983
1292533 1 115 3 876 35.8 2013866 35.8 0.72 0.99 0.707 -0.329 -0.62 0.663 0.786 -0.809
1477504 1 291 3 1103 23.2 13046139110 23.2 0.87 0 0.707 1.118 1.185 0.995 6.574 0.109
3147663 1 201 3 894 35.5 242713924 35.5 1.14 1.07 0.707 0.378 -0.565 -0.729 0.804 0.806
1476918 1 232 3 973 32.2 128613924 32.2 1.05 0.98 0.707 0.633 -0.157 -0.805 1.245 0.121
1560118 1 19 3 679 18 1009139210 18 0.73 0.55 0.707 -1.118 1.185 -0.995 6.574 -0.109
1411215 1 33 3 818 45.2 1059138912 45.2 0.69 1.3 0.707 -1.003 0.799 -0.27 4.434 0.867
1349037 1 202 3 1033 38 105138911 38 0 0 0.707 0.386 -0.555 -0.738 0.808 0.801
4168171 1 252 3 1047 31 356913917 31 0.98 1.13 0.707 0.797 0.215 -0.536 2.125 -0.639
3080248 1 220 3 941 60 220913859 60 2.1 1.98 0.707 0.534 -0.339 -0.836 0.98 0.506
1541839 1 20 3 736 19 137413906 19 0.79 0.54 0.707 -1.11 1.156 -0.936 6.397 0.002
4170940 1 21 3 724 33.2 356213915 33.2 1.03 1.1 0.707 -1.101 1.128 -0.878 6.223 0.107
7840154 1 175 3 878 31.3 1554613915 31.3 0.83 1.03 0.707 0.164 -0.748 -0.365 0.784 0.541
1593972 1 224 3 953 38 102213943 38 0.63 1.16 0.707 0.567 -0.282 -0.835 1.052 0.392
7612192 1 42 3 748 37 1453713891 37 0 0 0.707 -0.929 0.573 0.088 3.408 0.983
1335361 1 147 3 860 22.8 1182138612 22.8 0.82 0.73 0.707 -0.066 -0.784 0.15 0.793 -0.233
1479446 1 211 3 1071 41.4 11013924 41.4 1.19 1.24 0.707 0.46 -0.456 -0.806 0.868 0.702
4205397 1 70 3 793 35.1 1413936 35.1 0.88 0.93 0.707 -0.699 -0.019 0.733 1.52 0.185
4213995 1 47 3 685 31.2 352013927 31.2 0.47 0.85 0.707 -0.888 0.455 0.253 2.939 0.932
7845285 1 7 3 692 12 358913912 12 0 0 0.707 -1.216 1.549 -1.796 9.045 -2.115
4100908 1 33 3 893 38 350013883 38 0.88 1.1 0.707 -1.003 0.799 -0.27 4.434 0.867
1310874 1 19 3 817 34.2 1108138510 34.2 1.54 1.53 0.707 -1.118 1.185 -0.995 6.574 -0.109
3134127 1 35 3 780 18.4 231913906 18.4 0.24 0.57 0.707 -0.986 0.748 -0.183 4.184 0.92
4175507 1 300 3 1041 27.1 1413925 27.1 0.82 0.73 0.707 1.192 1.455 1.58 8.366 1.486
4202118 1 185 3 1031 38.2 3543139312 38.2 1.15 1.15 0.707 0.247 -0.694 -0.527 0.779 0.724
1590198 1 176 3 862 28.1 107713943 28.1 0.88 0.83 0.707 0.173 -0.743 -0.382 0.783 0.563
6928675 1 52 3 709 23 33613897 23 0.82 0 0.707 -0.847 0.343 0.395 2.535 0.824
